n_segmentos,num_episodes,learning_rate,discount_rate,fail
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.6,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.7,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.8,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
20,100,0.1,0.9,True
